rock_type,geological_structure,joint_spacing_cm,weathering_grade,presence_of_clay_seams,slope_angle_degrees,bench_height_m,slope_aspect_degrees,bench_width_m,annual_rainfall_mm,pore_water_pressure_kPa,seepage_presence,seismic_activity,blast_vibration_intensity_mm_s,blast_frequency_per_month,time_since_last_rockfall_days,rockfall_event,rockfall_risk,high_risk_flag
limestone,dyke,40,slightly weathered,0,69,5,195,9,2500,50,1,0,33,9,25,0,0.09,0
basalt,dyke,15,fresh,0,63,9,200,9,2021,50,0,0,33,7,100,0,0.04,0
basalt,fault,50,slightly weathered,1,70,9,100,8,1600,20,0,1,30,6,45,0,0.03,0
limestone,joint,43,slightly weathered,0,69,15,270,10,913,52,1,1,49,12,20,1,0.86,1
granite,dyke,80,fresh,0,55,12,120,11,1750,48,1,1,45,12,130,1,0.94,1
basalt,dyke,80,fresh,0,58,14,240,12,1769,25,0,0,22,4,20,0,0.02,0
basalt,dyke,65,slightly weathered,0,67,14,90,14,1864,58,0,0,42,10,70,1,0.7,0
granite,joint,60,slightly weathered,0,67,9,330,13,1655,45,0,0,32,6,110,0,0.02,0
sandstone,dyke,85,fresh,0,60,7,90,7,1915,25,0,0,22,5,120,0,0.0,0
basalt,joint,85,highly weathered,0,60,13,150,10,1654,85,1,1,45,12,120,1,0.99,1
granite,fault,44,slightly weathered,1,69,6,100,11,1562,38,0,0,39,7,144,1,0.73,1
limestone,dyke,65,fresh,0,72,11,330,13,1703,75,0,1,25,11,85,1,0.85,1
basalt,fault,50,slightly weathered,1,58,11,70,9,2310,90,1,1,50,12,10,1,0.99,1
limestone,bedding plane,55,slightly weathered,1,72,7,95,9,2004,82,1,0,23,7,115,0,0.06,0
granite,fault,40,slightly weathered,0,67,7,210,10,1802,35,1,0,26,8,40,0,0.05,0
granite,fault,52,slightly weathered,1,66,6,210,8,1656,37,1,0,23,9,95,0,0.01,0
limestone,fault,95,slightly weathered,0,62,13,140,10,1703,50,1,0,41,12,125,0,0.26,0
basalt,dyke,85,slightly weathered,0,60,12,40,9,1909,48,0,0,31,6,45,0,0.05,0
limestone,joint,80,slightly weathered,0,67,14,240,8,1652,40,1,0,33,9,130,0,0.07,0
granite,fault,45,fresh,0,65,10,60,12,1243,50,1,0,35,8,45,0,0.11,0
limestone,bedding plane,36,highly weathered,1,74,14,330,10,2116,88,1,1,44,11,120,1,1.0,1
granite,bedding plane,65,slightly weathered,0,58,7,120,10,1418,50,0,0,24,7,85,0,0.0,0
limestone,fault,40,highly weathered,1,72,15,120,6,2010,80,1,1,20,7,60,0,0.19,0
granite,fault,55,slightly weathered,1,71,13,160,14,2120,83,1,1,44,12,9,1,1.0,1
basalt,dyke,60,fresh,0,58,11,120,12,1414,10,0,0,30,10,120,0,0.05,0
granite,fault,53,slightly weathered,0,65,14,150,9,1802,41,1,0,35,8,30,1,0.72,1
granite,fault,55,slightly weathered,0,72,10,120,8,2116,42,1,0,30,8,60,0,0.08,0
sandstone,fault,55,slightly weathered,1,60,7,125,7,1315,40,1,0,33,7,55,0,0.02,0
basalt,dyke,60,slightly weathered,0,67,10,120,9,1600,50,0,0,36,6,85,0,0.04,0
sandstone,joint,10,highly weathered,0,50,7,300,14,2431,85,0,0,30,7,155,0,0.09,0
granite,fault,42,slightly weathered,0,69,6,230,9,1658,30,1,0,27,8,112,0,0.06,0
basalt,fault,52,slightly weathered,0,65,10,155,12,1366,50,0,1,27,7,122,0,0.01,0
sandstone,joint,25,slightly weathered,0,76,6,180,14,2241,55,0,1,40,12,30,1,0.83,1
granite,fault,15,fresh,0,65,10,45,7,1099,15,0,0,30,6,90,0,0.07,0
sandstone,fault,25,fresh,0,74,13,50,11,2104,50,1,0,36,10,100,1,0.77,1
basalt,fault,29,fresh,0,61,8,90,7,1300,48,1,0,19,7,70,0,0.01,0
sandstone,bedding plane,60,highly weathered,1,50,6,290,10,1904,70,1,0,36,7,75,0,0.15,0
granite,bedding plane,65,slightly weathered,0,68,7,40,8,1255,55,0,1,29,6,130,0,0.07,0
limestone,dyke,12,fresh,0,61,10,150,9,2202,65,1,1,33,10,30,1,0.88,1
granite,fault,85,slightly weathered,1,52,10,120,11,1123,30,1,0,29,7,85,0,0.04,0
limestone,fault,25,slightly weathered,0,65,13,230,8,2203,80,1,1,45,12,45,1,0.99,1
basalt,fault,45,slightly weathered,1,73,11,130,8,2018,85,1,1,43,7,50,1,0.98,1
limestone,fault,53,slightly weathered,0,74,12,128,12,1420,54,1,1,29,12,8,1,0.97,1
granite,fault,77,slightly weathered,0,61,10,240,10,1359,49,1,1,43,10,55,0,0.15,0
granite,fault,52,slightly weathered,1,55,9,120,10,2002,25,1,1,43,8,35,1,0.88,1
granite,fault,35,slightly weathered,1,72,7,170,10,1457,60,0,0,30,7,80,0,0.07,0
sandstone,fault,15,slightly weathered,1,70,14,110,10,2438,85,1,1,45,12,120,1,0.97,1
basalt,fault,53,slightly weathered,1,71,13,180,5,952,20,1,0,29,6,100,0,0.08,0
sandstone,bedding plane,70,slightly weathered,1,45,13,180,8,1601,55,0,1,45,7,90,0,0.13,0
sandstone,bedding plane,45,highly weathered,1,64,9,300,8,2204,77,1,0,44,4,70,1,0.88,1
basalt,dyke,12,fresh,0,56,8,319,9,992,16,0,0,20,7,128,0,0.0,0
basalt,joint,40,fresh,0,63,9,80,11,1600,55,1,1,43,4,110,0,0.16,0
sandstone,fault,45,slightly weathered,0,69,14,250,9,2101,40,0,1,19,6,15,0,0.05,0
granite,bedding plane,45,fresh,1,62,13,160,13,1703,40,1,0,37,8,100,0,0.04,0
basalt,dyke,25,highly weathered,1,66,7,45,10,1700,30,1,0,38,10,40,1,0.73,1
limestone,fault,50,slightly weathered,0,50,9,45,13,2015,65,1,0,42,9,60,0,0.21,0
limestone,fault,75,slightly weathered,1,53,9,160,7,2101,95,1,1,42,9,130,1,0.86,1
basalt,dyke,55,slightly weathered,1,74,5,90,10,2304,85,1,1,48,12,100,1,0.95,1
granite,fault,30,slightly weathered,0,67,11,115,11,1601,50,1,0,32,6,55,0,0.08,0
limestone,dyke,46,slightly weathered,1,64,13,180,14,1253,65,1,0,42,7,50,0,0.12,0
granite,bedding plane,49,slightly weathered,1,64,7,180,10,1504,62,1,0,26,7,78,0,0.02,0
sandstone,dyke,38,slightly weathered,0,55,7,30,6,1619,20,0,0,18,4,25,0,0.0,0
granite,fault,25,slightly weathered,1,73,7,160,9,2106,35,1,0,28,8,70,0,0.06,0
granite,fault,40,highly weathered,1,72,14,300,7,2203,100,1,1,42,6,10,1,0.97,1
limestone,bedding plane,65,highly weathered,1,75,14,210,6,1701,70,1,1,33,10,40,1,0.92,1
limestone,bedding plane,40,highly weathered,1,74,12,120,8,2114,80,1,1,40,12,30,1,1.0,1
sandstone,bedding plane,28,fresh,0,46,5,225,6,1419,38,0,0,15,6,120,0,0.0,0
limestone,fault,55,slightly weathered,1,68,11,45,11,1908,25,1,0,35,7,90,0,0.1,0
granite,dyke,40,slightly weathered,0,65,14,210,14,1416,30,1,0,32,7,75,0,0.02,0
basalt,fault,30,fresh,0,65,8,129,9,1700,10,0,0,20,9,45,0,0.0,0
sandstone,fault,80,fresh,0,45,10,300,11,2105,10,0,0,15,5,90,0,0.02,0
limestone,bedding plane,70,highly weathered,1,65,9,120,7,2118,85,1,0,40,6,60,1,0.86,1
sandstone,bedding plane,25,slightly weathered,1,65,7,330,9,2203,60,0,0,20,6,150,0,0.03,0
limestone,bedding plane,60,highly weathered,1,72,8,75,7,2201,65,1,1,25,6,10,0,0.25,0
sandstone,fault,52,highly weathered,1,69,13,30,13,1908,78,1,1,42,9,50,1,0.87,1
basalt,dyke,30,slightly weathered,1,64,13,180,14,2019,60,1,0,33,9,55,0,0.15,0
granite,fault,25,slightly weathered,0,66,10,350,10,1800,60,1,0,35,8,90,1,0.79,1
basalt,joint,25,highly weathered,1,72,11,250,9,2203,80,1,1,35,10,160,1,0.9,1
basalt,dyke,20,fresh,0,67,14,195,13,1703,60,1,0,44,5,3,1,0.84,1
sandstone,fault,65,fresh,0,72,12,340,9,2303,95,1,1,43,10,5,1,0.98,1
sandstone,joint,55,slightly weathered,1,67,13,157,15,1601,38,1,1,37,7,100,0,0.15,0
limestone,bedding plane,40,highly weathered,1,57,7,260,6,2014,75,1,1,48,11,20,1,0.95,1
sandstone,bedding plane,60,highly weathered,1,55,9,330,7,1251,95,1,0,20,6,45,0,0.08,0
sandstone,fault,22,slightly weathered,0,50,7,195,7,965,20,0,0,15,5,150,0,0.0,0
granite,fault,15,fresh,0,68,11,90,7,1600,25,0,0,30,11,90,1,0.71,1
limestone,fault,15,slightly weathered,1,70,11,85,9,2434,85,1,1,48,11,10,1,0.97,1
granite,fault,25,slightly weathered,0,66,14,315,12,1440,40,0,0,23,9,85,0,0.0,0
granite,fault,80,fresh,0,57,9,80,9,1952,20,0,1,23,9,65,0,0.02,0
sandstone,fault,52,slightly weathered,0,73,15,300,7,1800,25,0,0,22,6,5,0,0.02,0
sandstone,fault,40,slightly weathered,0,58,5,250,9,1914,58,1,0,36,5,70,0,0.09,0
sandstone,joint,35,slightly weathered,0,55,9,310,9,1506,25,0,0,20,6,15,0,0.01,0
granite,bedding plane,28,slightly weathered,0,66,6,120,7,2401,60,1,0,27,8,100,0,0.08,0
sandstone,joint,70,highly weathered,1,63,9,150,9,2013,65,1,0,20,8,30,0,0.12,0
limestone,fault,80,slightly weathered,0,66,9,300,9,1904,50,0,0,35,7,75,0,0.05,0
basalt,fault,40,fresh,0,72,5,140,5,2025,10,0,0,25,12,15,0,0.12,0
limestone,fault,50,slightly weathered,0,70,8,330,12,2019,65,1,1,30,7,20,0,0.17,0
basalt,dyke,55,fresh,1,67,12,270,9,2020,40,0,1,45,11,60,0,0.24,0
sandstone,fault,70,highly weathered,1,68,12,135,12,2203,95,1,1,42,9,110,1,0.97,1
basalt,dyke,55,fresh,0,58,10,195,9,1353,48,1,0,20,7,55,0,0.01,0
sandstone,bedding plane,60,highly weathered,1,74,13,340,13,2122,70,1,0,36,10,5,1,0.92,1
limestone,joint,25,slightly weathered,0,72,8,215,13,1952,90,1,1,18,12,10,1,0.95,1
sandstone,joint,55,highly weathered,1,72,10,240,6,1906,80,1,0,40,11,90,1,0.89,1
limestone,fault,52,slightly weathered,1,62,9,300,9,1619,95,1,0,21,7,65,0,0.07,0
granite,fault,45,slightly weathered,0,62,9,135,8,2009,20,1,0,35,8,60,0,0.05,0
limestone,dyke,20,slightly weathered,0,66,14,80,9,1911,65,0,1,30,9,25,1,0.83,1
granite,bedding plane,58,slightly weathered,1,55,6,180,7,2018,75,1,0,25,9,30,0,0.04,0
basalt,dyke,72,fresh,0,74,15,270,14,1420,50,0,0,42,9,135,0,0.12,0
limestone,bedding plane,60,highly weathered,1,74,6,60,8,2114,90,1,1,42,12,5,1,1.0,1
sandstone,fault,55,slightly weathered,1,71,7,90,10,1878,62,1,0,41,9,110,0,0.15,0
sandstone,joint,72,slightly weathered,1,63,7,250,6,1403,20,0,0,27,6,105,0,0.0,0
granite,fault,70,fresh,0,60,9,220,9,1318,22,0,1,22,9,10,0,0.0,0
basalt,joint,50,fresh,0,69,15,240,11,1406,60,1,0,33,10,60,0,0.09,0
limestone,fault,25,highly weathered,1,74,6,330,8,1308,72,1,1,44,11,20,1,0.93,1
granite,fault,45,slightly weathered,1,65,12,180,10,2106,80,1,0,30,8,30,1,0.76,1
granite,joint,65,slightly weathered,1,71,11,80,10,1600,10,0,1,50,12,20,1,0.94,1
granite,fault,45,slightly weathered,0,72,13,250,13,1702,40,0,0,22,9,130,0,0.03,0
limestone,fault,55,slightly weathered,1,68,12,200,12,2305,85,1,1,35,8,150,1,0.8,1
limestone,dyke,55,highly weathered,1,73,12,340,10,2204,70,1,0,44,11,120,1,0.94,1
limestone,bedding plane,61,highly weathered,1,58,6,110,9,1904,72,1,0,20,4,165,0,0.0,0
limestone,dyke,35,highly weathered,1,70,14,135,7,1601,85,1,1,42,7,110,1,0.94,1
granite,dyke,80,slightly weathered,1,72,13,300,15,2411,90,1,1,30,10,45,1,0.93,1
granite,joint,35,fresh,0,73,6,60,9,1600,35,0,0,22,5,150,0,0.02,0
basalt,fault,65,slightly weathered,0,58,10,270,9,1650,52,1,0,21,8,75,0,0.02,0
limestone,fault,70,highly weathered,1,74,12,200,10,2111,90,1,1,48,11,120,1,1.0,1
granite,fault,33,slightly weathered,1,66,13,157,14,1507,95,1,1,26,7,45,0,0.18,0
limestone,bedding plane,70,highly weathered,1,70,10,270,8,2201,80,1,1,48,10,90,1,1.0,1
sandstone,dyke,65,slightly weathered,1,64,9,210,8,2064,65,1,0,39,4,85,0,0.11,0
limestone,fault,55,fresh,0,47,12,120,9,2012,25,0,1,20,7,45,0,0.05,0
sandstone,bedding plane,40,slightly weathered,0,59,9,90,13,2426,50,0,0,38,6,105,0,0.03,0
basalt,joint,25,slightly weathered,1,65,10,270,10,1313,30,1,1,45,10,90,1,0.85,1
sandstone,bedding plane,50,fresh,0,60,9,120,7,2110,10,0,0,15,9,120,0,0.0,0
limestone,fault,30,highly weathered,1,69,9,300,6,1911,65,1,1,32,7,35,1,0.84,1
sandstone,fault,55,slightly weathered,0,69,6,240,9,1365,65,1,0,37,8,50,0,0.06,0
sandstone,fault,55,fresh,1,64,7,330,6,1415,20,0,0,18,6,100,0,0.0,0
sandstone,bedding plane,92,highly weathered,1,58,6,205,8,1657,28,0,0,23,5,105,0,0.0,0
basalt,fault,33,slightly weathered,0,73,9,125,8,1870,24,0,1,33,9,20,0,0.06,0
granite,fault,55,fresh,0,65,12,120,10,1800,55,0,0,35,8,45,0,0.08,0
granite,joint,48,fresh,0,64,9,330,14,1601,55,0,1,22,7,12,0,0.05,0
granite,fault,45,slightly weathered,1,68,9,180,10,1800,35,1,0,25,8,30,0,0.05,0
basalt,joint,30,fresh,0,50,13,330,9,2013,65,0,0,30,7,60,1,0.74,1
limestone,fault,70,highly weathered,0,66,15,250,10,2118,75,1,1,40,12,5,1,0.99,1
granite,dyke,43,slightly weathered,1,64,9,135,9,1653,63,1,0,16,8,180,0,0.04,0
sandstone,joint,45,slightly weathered,0,58,8,330,7,1253,25,0,0,20,5,100,0,0.0,0
granite,fault,45,slightly weathered,0,60,13,100,9,1765,55,1,0,30,9,45,0,0.07,0
limestone,bedding plane,70,slightly weathered,1,66,12,330,11,1300,50,1,0,21,8,85,0,0.1,0
granite,bedding plane,58,slightly weathered,0,72,12,230,9,2109,65,1,1,30,6,75,1,0.75,1
sandstone,joint,61,slightly weathered,0,60,12,315,9,1508,40,1,0,32,6,50,0,0.05,0
limestone,joint,70,slightly weathered,0,73,9,330,9,1907,55,0,0,21,7,85,0,0.03,0
limestone,fault,75,fresh,0,75,5,175,10,1502,20,0,0,28,5,120,0,0.03,0
basalt,joint,55,slightly weathered,1,63,5,330,6,2311,25,0,0,36,7,15,0,0.13,0
granite,dyke,65,fresh,0,57,11,100,12,1600,60,0,1,36,10,85,0,0.05,0
basalt,bedding plane,70,slightly weathered,0,55,9,195,9,1601,60,1,1,42,9,20,1,0.89,1
granite,fault,40,fresh,1,67,8,250,9,1219,35,1,0,30,8,15,0,0.14,0
limestone,fault,20,fresh,0,68,10,0,11,1800,60,0,0,35,7,60,0,0.11,0
granite,fault,65,slightly weathered,0,65,10,180,10,1702,45,1,0,22,8,45,1,0.75,1
granite,bedding plane,35,slightly weathered,0,70,10,120,8,1600,20,1,0,25,8,30,0,0.14,0
basalt,dyke,39,fresh,0,67,9,90,9,1853,64,0,0,42,8,89,0,0.06,0
basalt,fault,35,fresh,0,67,11,300,15,1700,50,0,1,40,11,10,1,0.97,1
granite,fault,40,slightly weathered,0,70,9,90,9,1801,65,1,0,45,9,75,0,0.12,0
granite,fault,58,slightly weathered,1,60,13,210,14,1703,51,1,1,29,7,85,1,0.79,1
limestone,fault,35,slightly weathered,1,65,10,160,9,1601,80,1,0,40,8,30,1,0.83,1
basalt,dyke,35,fresh,0,58,14,270,11,1062,18,0,0,22,7,140,0,0.0,0
limestone,fault,55,slightly weathered,0,70,12,290,12,2200,87,1,1,43,10,45,1,0.97,1
basalt,fault,40,fresh,0,65,12,250,8,2116,80,0,1,45,9,45,1,0.87,1
sandstone,bedding plane,55,slightly weathered,1,55,7,195,6,1703,65,1,1,33,7,135,0,0.09,0
sandstone,joint,75,highly weathered,1,72,13,45,7,2020,90,1,1,45,5,10,1,0.99,1
sandstone,joint,35,slightly weathered,0,58,9,110,9,1600,65,0,0,20,7,15,0,0.02,0
granite,dyke,35,fresh,0,69,12,180,10,2029,45,1,1,41,10,10,1,0.98,1
granite,fault,40,slightly weathered,0,58,7,250,9,2107,55,1,1,48,9,10,1,0.82,1
granite,fault,52,fresh,0,66,13,310,10,1650,40,0,0,32,10,130,0,0.06,0
sandstone,fault,72,slightly weathered,1,69,15,70,11,1600,65,1,1,44,10,10,1,0.94,1
sandstone,joint,15,fresh,0,68,8,330,13,2103,75,1,0,15,5,10,0,0.14,0
limestone,bedding plane,62,highly weathered,1,74,15,300,12,1404,90,1,0,22,8,10,1,0.86,1
sandstone,fault,60,slightly weathered,1,66,14,100,9,2500,95,1,1,23,11,15,1,0.99,1
sandstone,fault,35,slightly weathered,0,60,8,80,10,2026,60,0,1,45,9,65,0,0.04,0
limestone,bedding plane,58,highly weathered,1,68,13,180,14,1903,80,1,0,38,11,55,1,0.87,1
granite,fault,58,slightly weathered,0,68,8,90,9,2201,60,1,1,43,11,75,1,0.87,1
basalt,dyke,62,fresh,0,64,14,220,11,1047,35,0,1,46,11,20,0,0.14,0
limestone,bedding plane,60,slightly weathered,0,67,11,200,8,1655,65,1,0,32,9,90,0,0.07,0
limestone,bedding plane,35,slightly weathered,1,65,6,270,13,1903,65,1,0,32,9,75,0,0.07,0
limestone,fault,15,highly weathered,0,56,7,100,9,1301,75,1,0,28,9,55,0,0.04,0
granite,fault,49,slightly weathered,1,60,12,330,10,1801,20,1,0,30,8,30,1,0.73,1
sandstone,dyke,22,highly weathered,0,72,14,310,12,955,41,0,1,19,7,95,0,0.03,0
basalt,dyke,15,fresh,0,65,13,210,9,2025,20,0,1,45,11,30,0,0.25,0
sandstone,fault,18,slightly weathered,0,66,9,218,7,1537,49,1,1,20,8,135,0,0.07,0
granite,fault,35,slightly weathered,1,67,11,330,9,1557,32,1,1,33,8,50,0,0.11,0
limestone,bedding plane,70,highly weathered,1,69,6,330,8,1600,95,1,0,42,9,120,1,0.93,1
limestone,bedding plane,45,slightly weathered,0,69,6,240,9,1766,72,1,0,33,8,20,0,0.07,0
granite,fault,53,slightly weathered,1,69,9,105,9,2108,38,0,0,44,8,122,0,0.07,0
granite,fault,55,slightly weathered,0,45,5,100,7,1908,42,0,0,20,9,100,0,0.0,0
granite,fault,61,slightly weathered,1,58,8,300,9,1904,58,1,0,33,8,70,0,0.04,0
sandstone,bedding plane,55,highly weathered,1,73,7,105,14,1451,70,1,0,45,6,20,0,0.16,0
sandstone,fault,55,slightly weathered,0,60,6,240,6,1068,20,0,0,18,7,150,0,0.0,0
limestone,fault,35,slightly weathered,1,68,14,90,12,2102,65,1,0,25,9,30,0,0.16,0
granite,fault,65,fresh,0,70,13,90,7,1601,30,1,1,35,4,90,0,0.09,0
limestone,bedding plane,60,highly weathered,1,45,7,210,7,2309,79,1,1,37,12,170,1,0.98,1
granite,fault,45,slightly weathered,1,62,10,210,8,1801,70,1,0,40,8,30,1,0.74,1
granite,fault,45,slightly weathered,0,63,7,100,10,1761,70,1,0,32,8,45,0,0.07,0
basalt,dyke,65,fresh,0,58,6,160,13,1601,38,1,0,36,6,180,0,0.08,0
sandstone,joint,40,slightly weathered,1,69,6,80,9,2439,65,1,1,10,5,75,0,0.19,0
granite,fault,47,slightly weathered,0,66,6,130,9,1653,50,0,1,42,10,85,0,0.11,0
sandstone,fault,17,slightly weathered,0,58,8,115,7,1418,69,1,1,22,9,50,0,0.08,0
limestone,fault,45,slightly weathered,0,67,7,250,6,1701,22,0,0,32,6,105,0,0.0,0
basalt,dyke,55,slightly weathered,0,73,12,140,11,1703,42,1,0,39,7,115,0,0.08,0
limestone,fault,20,slightly weathered,0,68,15,180,10,1601,52,0,1,39,8,60,0,0.1,0
sandstone,fault,35,slightly weathered,0,67,15,60,10,2008,70,1,0,38,6,180,0,0.15,0
granite,fault,61,fresh,0,70,8,160,9,2302,77,1,1,36,10,55,0,0.23,0
sandstone,bedding plane,65,highly weathered,1,73,8,200,6,1801,75,1,0,45,9,130,1,0.83,1
granite,fault,35,fresh,1,72,13,105,11,1703,50,0,1,27,7,25,0,0.11,0
granite,fault,85,slightly weathered,1,71,15,200,15,2305,90,1,1,36,7,5,1,0.94,1
sandstone,bedding plane,40,slightly weathered,0,72,9,190,6,2012,65,1,0,28,9,25,0,0.09,0
granite,joint,35,highly weathered,1,55,9,120,7,1500,20,0,0,25,6,60,0,0.0,0
basalt,dyke,55,fresh,0,69,10,250,9,1750,20,0,0,26,6,105,0,0.01,0
granite,fault,35,slightly weathered,1,65,10,120,9,1504,40,1,0,30,8,40,1,0.72,1
granite,joint,55,highly weathered,1,73,7,270,13,1408,70,1,0,38,11,75,1,0.7,0
basalt,fault,10,fresh,0,67,14,330,15,921,25,0,0,20,6,90,0,0.01,0
granite,fault,45,slightly weathered,0,65,10,120,8,1800,40,1,0,35,8,60,1,0.68,0
limestone,fault,19,slightly weathered,0,49,15,100,14,2441,92,1,0,47,7,50,1,0.85,1
granite,fault,75,slightly weathered,1,66,6,120,7,1403,30,0,0,27,7,105,0,0.01,0
granite,fault,43,slightly weathered,1,68,9,120,14,2022,30,1,0,25,8,60,0,0.06,0
limestone,bedding plane,80,highly weathered,0,66,14,160,8,2406,50,1,1,49,11,135,1,0.96,1
sandstone,fault,10,fresh,0,69,15,340,11,1905,35,0,0,29,4,140,0,0.02,0
basalt,fault,70,fresh,0,55,12,200,10,900,25,0,1,40,10,45,0,0.32,0
limestone,bedding plane,31,highly weathered,1,64,14,135,7,1600,83,1,0,30,9,24,0,0.13,0
sandstone,fault,25,fresh,0,59,7,200,6,1600,8,0,0,16,7,180,0,0.01,0
granite,fault,55,slightly weathered,1,71,9,180,9,2026,50,1,1,32,7,75,0,0.15,0
basalt,fault,60,highly weathered,1,55,8,140,6,2117,45,1,0,28,7,75,0,0.07,0
limestone,bedding plane,60,highly weathered,1,50,7,300,9,2104,70,1,0,20,4,12,0,0.07,0
granite,bedding plane,48,slightly weathered,0,72,10,125,12,1802,55,1,0,30,8,30,0,0.07,0
granite,fault,65,slightly weathered,1,67,10,180,8,1600,55,1,0,29,7,85,0,0.06,0
sandstone,joint,35,highly weathered,0,60,9,250,10,1658,45,1,0,18,7,100,1,0.65,0
granite,fault,20,highly weathered,0,73,15,210,15,2307,90,1,1,40,11,10,1,0.98,1
limestone,fault,61,slightly weathered,1,65,9,225,9,1601,55,1,1,36,10,55,0,0.11,0
granite,fault,55,slightly weathered,0,73,13,360,9,1703,46,0,1,34,10,40,0,0.07,0
sandstone,fault,37,slightly weathered,0,66,14,120,13,1702,50,0,0,33,5,55,0,0.07,0
limestone,bedding plane,70,highly weathered,1,45,8,75,10,1802,80,1,0,22,6,10,0,0.1,0
limestone,fault,31,fresh,0,68,11,270,9,1700,50,0,0,20,6,25,0,0.03,0
basalt,dyke,80,fresh,0,72,14,90,12,1801,30,0,0,45,11,90,1,0.73,1
granite,fault,45,slightly weathered,0,57,10,130,9,1101,15,1,0,30,8,55,0,0.07,0
granite,fault,54,highly weathered,1,69,9,101,13,1462,56,1,0,20,7,135,1,0.65,0
limestone,dyke,65,fresh,0,70,13,270,11,1601,78,1,0,42,9,140,0,0.17,0
sandstone,joint,45,slightly weathered,1,60,13,210,10,1507,36,1,0,20,6,43,0,0.06,0
limestone,bedding plane,60,highly weathered,1,75,12,180,11,1800,90,1,1,20,9,10,1,0.95,1
granite,fault,85,slightly weathered,0,66,13,300,10,2004,15,0,1,22,8,55,0,0.03,0
sandstone,bedding plane,70,highly weathered,1,74,15,135,10,2303,90,1,1,50,12,85,1,1.0,1
basalt,dyke,89,fresh,0,73,7,315,6,954,16,0,0,19,6,108,0,0.0,0
granite,fault,70,highly weathered,1,69,8,100,7,2300,85,1,1,36,9,25,1,0.88,1
sandstone,bedding plane,15,highly weathered,1,72,12,300,13,2076,84,1,1,30,10,120,1,0.98,1
granite,bedding plane,55,slightly weathered,0,70,7,160,10,1600,60,0,1,20,7,90,0,0.01,0
granite,fault,54,highly weathered,1,74,9,160,8,2201,75,1,0,46,7,50,0,0.27,0
granite,fault,65,slightly weathered,0,73,13,210,14,2201,60,1,1,35,8,120,0,0.16,0
basalt,bedding plane,35,slightly weathered,0,67,11,330,13,1600,78,1,0,36,11,85,0,0.18,0
limestone,fault,70,highly weathered,1,73,10,210,6,1907,95,1,1,38,9,75,1,0.93,1
sandstone,fault,20,slightly weathered,0,72,14,160,14,2408,60,1,0,46,12,10,1,0.99,1
sandstone,fault,12,fresh,0,76,7,40,12,2020,10,0,0,22,5,10,0,0.06,0
sandstone,fault,45,slightly weathered,0,66,10,150,9,1600,35,1,0,28,7,75,0,0.01,0
limestone,fault,70,highly weathered,0,74,14,330,12,1409,80,1,0,41,12,95,1,0.94,1
granite,dyke,60,fresh,0,68,11,270,7,1601,50,0,1,35,5,75,0,0.2,0
sandstone,fault,36,fresh,0,74,15,80,14,2017,68,0,1,36,9,160,1,0.78,1
sandstone,fault,50,slightly weathered,0,60,6,90,12,1600,30,0,0,25,6,80,0,0.01,0
granite,fault,20,slightly weathered,1,67,13,130,13,2101,75,1,1,46,9,100,1,0.92,1
granite,dyke,50,slightly weathered,0,70,11,240,9,1703,40,0,1,36,7,85,0,0.01,0
basalt,fault,12,fresh,0,58,7,150,13,1367,24,0,0,21,6,105,0,0.0,0
granite,fault,56,slightly weathered,1,69,14,155,14,1600,70,1,1,43,12,20,1,1.0,1
limestone,fault,70,highly weathered,1,67,9,100,13,2107,75,1,1,35,7,120,1,0.78,1
sandstone,fault,60,highly weathered,1,45,10,330,8,1207,60,1,1,27,4,20,0,0.13,0
limestone,bedding plane,70,highly weathered,0,70,12,95,10,1800,70,1,1,45,10,30,1,0.94,1
limestone,fault,38,slightly weathered,1,66,11,110,9,1422,60,1,0,22,9,25,0,0.06,0
limestone,bedding plane,70,highly weathered,1,45,5,330,5,2306,85,1,0,27,10,140,0,0.06,0
granite,fault,55,fresh,0,66,13,330,9,1407,30,0,0,38,9,60,1,0.61,0
limestone,fault,35,highly weathered,1,65,7,180,7,2311,90,1,0,25,7,75,0,0.12,0
granite,fault,65,slightly weathered,1,60,11,100,6,2204,50,1,1,35,11,150,0,0.22,0
limestone,bedding plane,45,slightly weathered,1,50,8,210,8,2500,35,1,0,28,4,150,0,0.04,0
basalt,dyke,15,fresh,0,58,13,160,10,1801,55,0,1,35,10,30,1,0.81,1
limestone,fault,30,slightly weathered,0,69,11,150,11,1504,60,0,0,32,9,75,0,0.02,0
limestone,dyke,80,fresh,0,58,11,210,10,1914,50,0,0,22,7,15,0,0.04,0
granite,joint,69,slightly weathered,1,47,9,330,7,2122,95,1,1,23,10,65,0,0.2,0
sandstone,fault,50,slightly weathered,1,66,11,160,11,2003,47,0,1,39,10,135,1,0.76,1
granite,fault,65,fresh,0,67,13,330,12,2201,22,0,0,20,9,80,0,0.02,0
limestone,fault,50,slightly weathered,0,63,6,350,5,1601,35,0,0,28,9,90,0,0.01,0
basalt,dyke,90,fresh,1,64,10,240,8,1852,25,0,0,29,7,75,0,0.02,0
limestone,fault,63,slightly weathered,0,62,9,218,9,1952,54,0,1,21,8,88,0,0.01,0
basalt,fault,28,slightly weathered,0,73,11,185,11,997,65,1,0,33,6,80,0,0.05,0
limestone,dyke,75,slightly weathered,0,63,7,330,9,1400,85,1,0,34,9,70,1,0.71,1
